# Level, sudoku, 
Beginner, 463--987-81234796-9-526-13469----283537-824-924-93--57-8472359-3-941-72-7--8-534-
Beginner, 5719-238--64-381--3-97--524638425-17--7396-52--5--7463853279-41-1-6537-8796-14--5
Beginner, 31284795645891627----2-318-13----52-8-9-723-127-36-4-896173-84-72419863-58--247--
Beginner, 71-8-54-99-462731----4-9576----8374-4---569818719-263-1-95742633-72-81545423618--
Beginner, 36--95---1897----67--68-4-9617238-54425--78-39384567212--3-9685-9-5--147546871392
Beginner, 367--9-58-2-5-17--59-8-7-26-39---2146481729-5152-94-674169835722-371-649-752---81
Easy, 7--4-2--59586--4-142391-7685-2-4-613--93-6-7----15---------13--395-68147-8-7--2-9
Easy, --8-61--715-4796-3---528---8-----921--9713-6-6--9-23---9--475-64-7235-9838-1---42
Easy, --1---9---6972-14-3-598-72-6-8472--3-23-9-4-74----586-7--3----4-368542--1--26735-
Easy, 685-3-294----92--5--3-56-7-21968354-45-92--8---8--512------9-1-19--7-46-87631-9--
Easy, 8943---5-6714-2839---7---6448-63-921-1-8273-5-5291-6--1-9-7--8----2-----24-183---
Easy, -39-4-256-6-57-8395-2--3-419-328--7-------3--24-6---15-57--94--3---145-2824--6197
Easy, 9--621758-7----3-61---78--2-65-4--8-7-1--3-6434-1-2--568371-5--5--2368--4---95-31
Easy, 1--9-5-6469--3-517275-61-39758-96--2-6----378-4-72---6-1-2--6--8--659-2--26--3-9-
Medium, -84--53---31--8-67--23-6-------4-95834------6-69---473--3-6-7----658-1---1-932---
Medium, 7---26--421-8-----46-9------8--7-3--6-----51-3-16-5--8--7----35136--9-7--4-76389-
Medium, ----5------2-873-1---3--465-43--59--2-873--16--1-9-2-4----4--2-9-7--31-8---97-6-3
Medium, --76--294---7----3--69-4-----1-----29-42--8-5723-85--6-39-1----1--86----6783-2---
Medium, 92-61----46---3----1-7--9-6-5--782--672---58----2-6--3-9632--147-----6----1-64-9-
Medium, 7-6-9--84---6--5---25814-7313---7--6--9--673---------8---96--1-4---2-3---7145-82-
Hard, -79---2---8--45-3-----3-1-8-21------4-6--3-1--5-----2-----------4--9-6----5672--1
Hard, ---89--52--3-6---9---45--83---5-8-9-9--6-13--7--329----8--------9-2-483--1----924
Hard, --8-5---2-2--9--41--4-3---9-------18---------57-4--2-------7--3--7-6-4---613---9-
Hard, -9-8-7-------5----5-3--2-41--9-------37----241--34---6-7----6-28---------------1-
Hard, 5-2--9---3-------7---26----7--5-6---------1------28--9-------4--6-4-53---1--3-62-
Hard, -------19-3--9---8--624--5-8---6----17-9-4--2----3------------1-5-38-29-3-9--5--4
Extreme, --8491--------2-8-71------3--43-6952----5-6--9--2----8------5-6-37--981----1---97
Extreme, ---4-38--5---9-----86-----7--52---84-21----5-------7-915-7--9-849--1-2---------71
Extreme, 4-8-7--52---9--1-7--6---8------5---65-4-----8-8-2-7------------9-----3---213-59--
Extreme, -72--9----3-6--4----1----871-----7--9--2-3-----------6---3--56------49------18--2
Extreme, 61------7--95--3--3----2-6--6-834---9---------5--1-----8-----4---7---5----279----
Extreme, --7------49-8-3-7--3-9---86--------4-2------1--1-6-3-8-4--7--6----2-6---8-----5--
